ORF,Gene,Description,Number of peptides,glucose,maltose,oleate,fructose,sucrose,trehalose,lactate,acetate,pryuvate,glycerol
YLR369W,SSQ1,"Mitochondrial hsp70-type molecular chaperone, required for assembly of iron/sulfur clusters into proteins at a step after cluster synthesis, and for maturation of Yfh1p, which is a homolog of human frataxin implicated in Friedreich's ataxia",36,4893.900,8407.460,7619.600,5133.370,4812.140,8566.340,8686.320,18099.700,7394.720,7416.940
YGL162W,SUT1,Transcription factor of the Zn[II]2Cys6 family involved in sterol uptake; involved in induction of hypoxic gene expression,4,389.836,121.749,110.610,385.690,412.611,162.913,225.168,53.242,397.536,195.633
YPR171W,BSP1,Adapter that links synaptojanins Inp52p and Inp53p to the cortical actin cytoskeleton,42,8716.760,4893.950,6582.800,9061.840,8984.100,7782.680,7328.560,4294.370,8838.440,9915.330
YBL006C,LDB7,"Component of the RSC chromatin remodeling complex; interacts with Rsc3p, Rsc30p, Npl6p, and Htl1p to form a module important for a broad range of RSC functions",9,1188.280,2237.180,1732.000,1515.950,1416.150,2183.420,2086.510,2109.720,1612.170,1755.970
YGL156W,AMS1,"Vacuolar alpha mannosidase, involved in free oligosaccharide (fOS) degradation; delivered to the vacuole in a novel pathway separate from the secretory pathway",125,2381.180,60235.500,34314.400,2435.300,1797.200,38874.600,53095.000,42586.800,24931.200,27162.800
YPR010C,RPA135,RNA polymerase I second largest subunit A135,101,31359.100,12564.800,12590.400,30737.800,34261.600,12330.400,14371.500,10579.500,16130.900,13910.300
YDR021W,FAL1,"Nucleolar protein required for maturation of 18S rRNA, member of the eIF4A subfamily of DEAD-box ATP-dependent RNA helicases",23,5539.020,3560.570,3179.980,5341.950,5677.310,2880.780,3014.680,3114.900,3533.860,3201.020
YHR018C,ARG4,"Argininosuccinate lyase, catalyzes the final step in the arginine biosynthesis pathway",57,11768.100,9500.350,13942.500,10685.700,9938.800,12004.500,11356.200,10821.700,16611.500,14848.300
YEL017W,GTT3,"Protein of unknown function with a possible role in glutathione metabolism, as suggested by computational analysis of large-scale protein-protein interaction data; GFP-fusion protein localizes to the nuclear periphery",24,5667.820,7609.670,6879.320,5818.390,5787.240,9084.090,7684.440,5545.370,7162.680,8819.960
YOR076C,SKI7,Coupling protein that mediates interactions between the Ski complex and the cytoplasmic exosome during 3'-5' RNA degradation; eRF3-like domain targets nonstop mRNA for degradation; null mutants have superkiller phenotype,18,3102.490,3099.900,2924.660,3560.780,3627.290,3443.930,3202.170,2751.830,2868.650,2951.600
YHR205W,SCH9,"Protein kinase involved in transcriptional activation of osmostress-responsive genes; regulates G1 progression, cAPK activity, nitrogen activation of the FGM pathway; involved in life span regulation; homologous to mammalian Akt/PKB",27,7046.100,4867.810,4897.520,6983.740,7028.560,5534.310,5363.440,5066.290,6061.120,5297.940
YIL007C,NAS2,Proteasome-interacting protein involved in the assembly of the base subcomplex of the 19S proteasomal regulatory particle (RP); similar to mammalian proteasomal modulator subunit; non-essential gene; interacts with Rpn4p,14,1376.150,3050.970,2408.160,1206.770,1268.960,2421.170,2763.410,2707.600,2645.070,2123.620
YLR006C,SSK1,Cytoplasmic response regulator; part of a two-component signal transducer that mediates osmosensing via a phosphorelay mechanism; required for mitophagy; dephosphorylated form is degraded by the ubiquitin-proteasome system; potential Cdc28p substrate,15,1403.640,1908.950,1800.460,1359.890,1275.480,2086.190,1839.940,2414.060,1809.830,1735.190
YMR183C,SSO2,Plasma membrane t-SNARE involved in fusion of secretory vesicles at the plasma membrane; syntaxin homolog that is functionally redundant with Sso1p,36,5580.310,3709.150,6358.760,4636.490,4870.430,4206.560,4968.690,4877.360,6006.790,5994.210
YNL126W,SPC98,Component of the microtubule-nucleating Tub4p (gamma-tubulin) complex; interacts with Spc110p at the spindle pole body (SPB) inner plaque and with Spc72p at the SPB outer plaque,20,2586.640,2597.670,2818.290,3025.000,2802.140,3324.670,3438.830,2885.360,2988.500,3187.760
YLL007C,YLL007C,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLL007C is not an essential gene,29,2711.900,3779.580,2777.710,3282.830,2935.240,3618.850,3679.870,4127.500,3137.840,3983.000
YGL099W,LSG1,Putative GTPase involved in 60S ribosomal subunit biogenesis; required for the release of Nmd3p from 60S subunits in the cytoplasm,66,24037.800,8273.050,10500.000,20986.600,23864.100,9883.400,10538.500,9971.340,12714.200,10955.200
YML056C,IMD4,"Inosine monophosphate dehydrogenase, catalyzes the first step of GMP biosynthesis, member of a four-gene family in S. cerevisiae, constitutively expressed",27,11015.300,2170.890,1096.630,8841.480,9791.780,2130.760,906.459,1582.870,1542.120,1186.940
YDR385W,EFT2,"Elongation factor 2 (EF-2), also encoded by EFT1; catalyzes ribosomal translocation during protein synthesis; contains diphthamide, the unique posttranslationally modified histidine residue specifically ADP-ribosylated by diphtheria toxin",601,124399.000,85296.600,67782.100,135394.000,127389.000,75535.600,69753.100,69911.100,81251.800,85378.500
YLR305C,STT4,"Phosphatidylinositol-4-kinase that functions in the Pkc1p protein kinase pathway; required for normal vacuole morphology, cell wall integrity, and actin cytoskeleton organization",56,11546.100,8506.230,6936.350,10898.600,11235.600,7893.680,8716.250,9344.710,9786.040,9486.910
YML104C,MDM1,"Intermediate filament protein, required for nuclear and mitochondrial transmission to daughter buds; contains a Phox homology (PX) domain and specifically binds phosphatidylinositol 3-phosphate (PtdIns-3-P)",17,943.154,971.524,1071.310,867.370,765.834,1007.400,1292.280,748.402,1024.060,1094.140
YPL075W,GCR1,Transcriptional activator of genes involved in glycolysis; DNA-binding protein that interacts and functions with the transcriptional activator Gcr2p,21,3063.770,3634.730,3048.250,3285.500,3190.110,3679.870,3825.700,5449.290,3928.720,3743.800
YMR102C,YMR102C,Protein of unknown function; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance; mutant shows increased resistance to azoles; YMR102C is not an essential gene,29,5239.030,4891.030,6483.180,5629.230,4459.340,4850.560,5357.210,8451.780,5104.830,5089.380
YMR016C,SOK2,Nuclear protein that plays a regulatory role in the cyclic AMP (cAMP)-dependent protein kinase (PKA) signal transduction pathway; negatively regulates pseudohyphal differentiation; homologous to several transcription factors,25,4546.620,3855.580,4109.120,5207.120,5084.170,4426.390,4427.130,3471.750,4934.440,4052.120
YCR054C,CTR86,"Essential protein of unknown function; with orthologs in Ashbya gossypii and Candida albicans; similar to human ATXN10, mutations in which cause spinocerebellar ataxia type 10; codon usage corresponds to that observed for yeast genes expressed at low levels",29,4829.370,5631.100,4350.840,5067.190,5305.210,4991.700,6163.800,4221.970,5194.130,5053.240
YMR217W,GUA1,"GMP synthase; highly conserved enzyme that catalyzes the second step in the biosynthesis of GMP from inosine 5'-phosphate (IMP); transcription is not subject to regulation by guanine but is negatively regulated by nutrient starvation; reduction-of-function mutation gua1-G388D causes changes in cellular guanine nucleotide pools, defects in general protein synthesis, and impaired translation of GCN4 mRNA",152,40306.200,19165.100,21168.200,39261.200,39707.600,17705.600,18028.300,15978.900,23616.200,19268.500
YJL095W,BCK1,"Mitogen-activated protein (MAP) kinase kinase kinase acting in the protein kinase C signaling pathway, which controls cell integrity; upon activation by Pkc1p phosphorylates downstream kinases Mkk1p and Mkk2p",28,3237.850,2787.390,3412.720,2941.720,3267.690,3275.700,3590.500,2721.310,3395.630,3391.160
YPR021C,AGC1,"Mitochondrial amino acid transporter, acts both as a glutamate uniporter and as an aspartate-glutamate exchanger; involved in nitrogen metabolism and nitrogen compound biosynthesis",33,3292.710,5099.270,5563.760,3366.150,3716.340,5514.170,5525.070,7526.030,5992.350,7932.150
YLR173W,YLR173W,Putative protein of unknown function,13,1269.250,2630.780,2089.150,1027.190,1101.130,1895.650,2144.280,2006.380,1390.750,1954.040
YOR227W,HER1,"Protein of unknown function required for proliferation or remodeling of the ER that is caused by overexpression of Hmg2p; may interact with ribosomes, based on co-purification experiments",55,4094.270,8067.340,7686.700,4092.960,3685.840,8593.370,9090.170,7610.140,7188.770,7381.310
YHR099W,TRA1,"Subunit of SAGA and NuA4 histone acetyltransferase complexes; interacts with acidic activators (e.g., Gal4p) which leads to transcription activation; similar to human TRRAP, which is a cofactor for c-Myc mediated oncogenic transformation",154,25109.800,21882.700,22164.500,26477.700,26944.600,22483.700,24830.400,23212.000,25241.400,27924.300
YHR117W,TOM71,Mitochondrial outer membrane protein with similarity to Tom70p; probable minor component of the TOM (translocase of outer membrane) complex responsible for recognition and import of mitochondrially directed proteins,35,11905.000,8613.270,8386.210,11710.300,12049.200,8931.790,8371.180,8407.870,8054.970,8602.980
YGL048C,RPT6,One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates; bound by ubiquitin-protein ligases Ubr1p and Ufd4p; localized mainly to the nucleus throughout the cell cycle,69,11679.700,12299.900,11749.200,11653.800,12185.700,12696.800,11327.800,14103.300,11409.400,12031.100
YMR098C,ATP25,Mitochondrial protein required for the stability of Oli1p (Atp9p) mRNA and for the Oli1p ring formation; YMR098C is not an essential gene,17,1573.320,1715.690,1954.520,1583.930,1938.190,1932.600,1946.440,2781.570,2184.510,2463.790
YPR115W,RGC1,Pleckstrin homology domain containing protein proposed to function as a glycerol channel activator; paralogous to Ask10p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm,45,5308.590,10098.200,9969.510,6330.620,5786.580,11583.600,8841.330,10347.400,11045.100,13624.900
YBR081C,SPT7,"Subunit of the SAGA transcriptional regulatory complex, involved in proper assembly of the complex; also present as a C-terminally truncated form in the SLIK/SALSA transcriptional regulatory complex",72,13166.400,13345.900,12566.600,13177.000,13075.300,14704.800,13207.100,14809.200,13369.200,14453.600
YOR250C,CLP1,"Subunit of cleavage factor I (CFI), involved in both the endonucleolyitc cleavage and polyadenylation steps of mRNA 3'-end maturation",18,2325.330,2770.000,2602.690,2384.400,2363.260,2935.280,2980.150,2738.620,2650.420,2865.880
YOR332W,VMA4,"Subunit E of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; required for the V1 domain to assemble onto the vacuolar membrane",88,20104.100,15454.300,14054.800,18298.100,17588.500,15183.400,14931.000,24606.600,14839.800,13250.300
YAL019W,FUN30,"Conserved member of the Snf2p family with ATP-dependent chromatin remodeling activity; has a role in silencing; potential Cdc28p substrate; authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies",61,13861.400,5720.070,7521.150,12714.400,13755.500,6653.540,7862.940,5787.780,9285.800,8756.880
YEL030W,ECM10,"Heat shock protein of the Hsp70 family, localized in mitochondrial nucleoids, plays a role in protein translocation, interacts with Mge1p in an ATP-dependent manner; overexpression induces extensive mitochondrial DNA aggregations",62,8916.530,17972.300,10881.400,8894.230,9217.010,11464.800,11013.900,21953.200,11042.300,10103.900
YJR045C,SSC1,"Hsp70 family ATPase, constituent of the import motor component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); involved in protein translocation and folding; subunit of SceI endonuclease",232,27600.300,31191.600,35582.000,30523.100,29378.900,35455.800,28536.600,82702.200,35158.200,34011.000
YKL152C,GPM1,"Tetrameric phosphoglycerate mutase, mediates the conversion of 3-phosphoglycerate to 2-phosphoglycerate during glycolysis and the reverse reaction during gluconeogenesis",241,91469.600,80073.200,25593.300,94510.600,81780.200,46241.200,43570.300,37550.400,42798.600,40104.900
YGR054W,YGR054W,"Eukaryotic initiation factor (eIF) 2A; associates specifically with both 40S subunits and 80 S ribosomes, and interacts genetically with both eIF5b and eIF4E; homologous to mammalian eIF2A",62,21592.700,10624.600,10106.300,21949.200,23662.000,11786.000,9777.230,10452.300,13046.800,13030.600
YKR010C,TOF2,Protein required for rDNA silencing and mitotic rDNA condensation; stimulates Cdc14p phosphatase activity and biphasic release to promote rDNA repeat segregation; required for condensin recruitment to the replication fork barrier site,27,5102.780,3320.280,3997.460,5398.010,4966.740,4516.090,4050.000,5775.410,4960.330,5088.620
YDL225W,SHS1,"One of five related septins (Cdc3p, Cdc10p, Cdc11p, Cdc12p, Shs1p) that form a cortical filamentous collar at the mother-bud neck which is necessary for normal morphogenesis and cytokinesis",50,9444.720,7591.950,9338.900,8966.490,8880.260,9146.050,8526.290,14821.900,10068.200,8992.660
YJR132W,NMD5,"Karyopherin, a carrier protein involved in nuclear import of proteins; importin beta homolog",39,10044.500,5124.850,4087.770,9563.500,10409.700,4997.990,6137.260,4067.020,5642.840,5413.290
YOR112W,CEX1,"Cytoplasmic component of the nuclear aminoacylation-dependent tRNA export pathway; interacts with nuclear pore component Nup116p; copurifies with tRNA export receptors Los1p and Msn5p, as well as eIF-1a and the RAN GTPase Gsp1p",39,4801.110,4132.840,4427.320,4358.580,4803.810,4528.260,5135.350,4212.390,5798.430,5098.880
